Abisara attenuata;"Arunachal Pradesh, India, Changlang District, Namdapha NP, Deban"
Spindasis abnormis;"Kovai Kutralam, Purandar Fort, Sanjay Gandhi NP, Coimbatore District, Maharashtra, Satara District, Pune District, Thane District, Thoseghar, Kumbharli Ghat, Tamil Nadu, Chiplun, Ratnagiri District, Siruvani, Khed, India, Yeoor"
Spindasis elima;"Maharashtra, Alipurduar District, Buxa TR, Chinchole, Paschimbanga, Nashik District, India, Jayanti"
Spindasis evansii;"Nagaland, Shatuza Village, India, Phek District"
Spindasis ictis;"Alwar District, Coimbatore District, Bankura District, Kolhapur Airport, Turahalli RF, Rahata Taluka, Dadra and Nagar Haveli District, Jabalpur District, Bandhavgarh NP, Bengaluru  Rural District, Pashan, Mysore District, Ahmadnagar District, Kerala, Boisar, Satara, Baner, Ramakrishna Mission, Ayyanar Falls, Haveri District, Savandurga SF, Karnataka, Dadra & Nagar Haveli, Bannerghatta RF, Chikkaballapur District, Chinnar WLS, Dharwad District, Umaria District, Kaiwara, Vetal Hill, Ratnagiri District, Paschimbanga, Lalitha Mahal Palace, Idukki District, Tamil Nadu, Nashik District, Silvassa, Hesaraghatta Lake, Susunia Hill, Madayi Para, Sariska NP, Tala, Valmiki Ashram, Shivanahall, Pune District, Thane District, Madhya Pradesh, Rajasthan, Bengaluru Urban District, Vedapatti, Tumkur District, India, Songaon, Dharwad, Bhima Bakasura Betta, Betegaon, Palghar District, Mydanahalli, Pune, Maharashtra, Jayamangali Blackbuck Reserve, Satara District, Kolhapur District, Kannur  District, Kadaramandalagi, Ujlaiwadi, Magadi Taluk, Dumna Nature Reserve, Chiplun, Miravane, Virudhunagar District, Nashik, Byadgi Taluk, Taluka Chiplun"
Spindasis lohita;"Coimbatore District, Kerala, Havelock Islands, Changlang District, Shivamogga District, Lunglei District, Ultapani, Buxa TR, Dimapur, Paschimbanga, Dzongu, Tamil Nadu, Mayurbhanj District, Murud, Goa, Bonacaud, Mawlong-Terna Road, Siruvani, Hanging Gardens, Malabar Hills, Someshwara WLS, Manipur, Amboli, Jeypore RF, Chiplun, East Kameng District, Andaman and Nicobar Islands, Matheran, IIT Bombay, Dimapur District, Kakkayam, North Sikkim District, Hoollongapar Gibbon Sanctuary, Satara, South Andaman District, Kovai Kutralam, Karnala Bird Sanctuary, Saalugudda Homestay, Tripura, Simlipal NP, Pakke TR, Piphema (near Pherima), Jog Falls, Thiruvananthapuram  District, Assam, India, Senapati District, Mizoram, Anamika Falls, Jorhat District, Naigaon, Meghalaya, Chelembra, Arunachal Pradesh, Chamrajnagar District, Lunkai Nullah, Darjeeling District, Halgeri, Chinchoti, Karnataka, Bhitarkanika NP, Kudlu Teertha, Ratnagiri District, Pithabata River, Maharashtra Nature Park, Alipurduar District, Siddapur, Ramchandraghat, Namdapha NP, Mumbai City District, East Khasi Hills District, Maharashtra, Satara District, Kannur  District, Tinsukia District, Kozhikode District, Wayanad District, Hassan District, Chilapata WLS, Kaas, Kokrajhar District, Bhubaneshwar District, Lunglei, University of North Bengal, Khowai, South Goa District, Elephant Conservation Reserve, Deban, Sikkim, Namprikdang, Senapati, Udupi District, Cotigao WLS, Dibrugarh District, Malappuram District, Wayanad WLS, Raigad District, Nagaland, Sindhudurg District, Bhubaneshwar, Uttara Kannada District, Kendrapara District, Odisha, 19th Mile, Digboi, Thane District, Biligiri Rangaswamy Temple WLS, Mumbai Suburban District, Gokarna, Powai, Aralam WLS, Lulung Check Gate, Khowai District, Tungareshwar WLS, Peppara WLS"
Spindasis nipalicus;"Tehri Garhwal District, Bhimtal, Lungshu Nala, Nainital District, Sirmaur District, Devalsari, Nohradhar, Himachal Pradesh, India, Uttarakhand"
Spindasis rukma;"India, Darjeeling District, Mirik, Paschimbanga"
Spindasis rukmini;"Sikkim, Lower Mukrung, West Sikkim District, Namdapha NP, Arunachal Pradesh, India, Changlang District, Deban"
Spindasis schistacea;"Honey Valley, Tamhanmala, Maharashtra, Karnataka, Ernakulam District, Mandya District, Edamalayar, Chiplun, Ranganthittu Bird Sanctuary, Kerala, Ratnagiri District, India, Kodagu District"
Spindasis syama;"Mizoram, Lunglei District, Phek District, Shathiiya, Near Shatuza Village, Pakke TR, Lunglei, Alipurduar District, Buxa TR, Nagaland, East Kameng District, Paschimbanga, Arunachal Pradesh, India, Jayanti"
Spindasis vulcanus;"Devgad, Cauvery WLS, Kerala, Baner, Nuripara, Camp Geedee, Tamhanmala, Kamalpur, Haveri District, Chintamani Kar Bird Sanctuary, Mandya District, Chikkaballapur District, Paschimbanga, Tamil Nadu, Gadchiroli District, Solapur District, Kanakpura Taluk, Shibpur, Bangalore University Campus, Bengaluru Urban District, Krishnanagar, Malabar Hills, Palghar District, Gumalapuram Village, Andhra Pradesh, Dhule District, Kunakeshwar, Mirzapur District, Pune, Chiplun, Dombivli, New Delhi, DVC Canal, Byadgi Taluk, Aurangabad, New Delhi District, Bankura District, Turahalli RF, Jabalpur District, Kallar, Galibore Fishing Camp, Nandi Hills, Savandurga SF, Phansad WLS (Supegaon End), Dahanu, Idukki District, Nagla Block, Hesaraghatta Lake, Thiruvananthapuram  District, Pune District, India, RGSC BHU, Uttar Pradesh, Nivati, Valley School, Ganganahally, Kasaragod District, Roychak, Alibag, Aurangabad District, Bengaluru  Rural District, Pyramid Valley, Nadia District, Hooghly District, Ramnagar district, South 24 Parganas District, Dhule, Ragihalli, Sanjay Gandhi NP, Vithura, Karnataka, Ratnagiri District, Jagmarla, Velas, Neerchal, Maju, Mumbai City District, Mydanahalli, Maharashtra, Jayamangali Blackbuck Reserve, Jalgaon District, Kadaramandalagi, J.P. Nagar RF, Kanakeshwar, Dhobi RF, Baidyabati, Pashan, Barkachha, Howrah District, Darli, Periyar Bamboo Grove, Solapur, Kelva, Kallar Eco Tourism Park, Krishnagiri District, Sindhudurg District, Raigad District, Bhuvangadh, Murud-Janjira Taluka, Chittoor District, Nimkhedi Road, Thane District, Madhya Pradesh, Nilgiri District, Vadad, Tumkur District, Mumbai Suburban District, Haus Khas District Park, Magadi Taluk, Tungareshwar WLS, Delhi"
Spindasis zhengweilie;"West Kameng District, Arunachal Pradesh, India, Eaglenest WLS"
Stibochiona nicea;"Balpakram NP, South Garo Hills District, West Kameng District, Old Jirang, Baramura Hill, Gomati district, Mouling NP, Maharani, North Sikkim District, Hoollongapar Gibbon Sanctuary, Changlang District, Uttarakhand, Deban, Dehradun District, Chakrata, Sikkim, Tripura, Bomphu to Hathi nala, Pasingdang, Mawkdok, Ri Bhoi District, Pithoragarh District, Sessni, Senapati To Sorbung Road, Upper Dzongu, 19th Mile, Mawlong-Terna Road, Assam, Sessa Orchid Sanctuary, Gongrot, Upper Siang District, Namdapha NP, 22nd Mile, India, Dakshin Baramura Debtamura RF, Manipur, Senapati District, Anamika Falls, East Khasi Hills District, Jorhat District, Cherrapunjee, Meghalaya, Khowai District, Eaglenest WLS, Arunachal Pradesh, Jauljibi, Near Warengbari"
Stiboges nymphidia;"Sessa to Bhalukpong Road, Haldibari, West Kameng District, Eaglenest WLS, Bomphu, Hornbill Point, 18th Mile, Upper Siang District, Namdapha NP, Mouling NP, Sessni, Arunachal Pradesh, India, Changlang District, Miao-Deban Road, Deban"
Stichophthalma camadeva;"Teptepa Village, Pakyong, South Garo Hills District, West Kameng District, West Seijosa, North Sikkim District, Sikkim, Pakke TR, Lower Namchingbung, Pasingdang, Mangan, Raigaon, East Sikkim District, Dzongu, Upper Dzongu, Sangkland, India, Rafom Khola, East Khasi Hills District, Mawkisyiem, Meghalaya, Cherrapunjee, East Kameng District, Eaglenest WLS, Arunachal Pradesh, Ring Khola"
Stichophthalma nurinissa;"West Kameng District, Bomphu, Lower Subansiri District, Ziro, Eaglenest WLS, Arunachal Pradesh, India"
Stichophthalma sparta;"Lohit District, Pakke TR, West Seijosa, East Kameng District, Arunachal Pradesh, India, Kamlang WLS"
Stimula swinhoei;"India, Sikkim, Meghalaya, Khasi Hills"
Suada swerga;"Mizoram, Balpakram NP, South Garo Hills District, Meghalaya, Gongrot, Lungpuk, Mara Autonomous District, India"
Suasa lisides;"Arunachal Pradesh, India, Changlang District, Haldibari, Namdapha NP"
Suastus gremius;"Gavier lake, IIT Bombay, Honey Valley, Kathayat Bara Village, Devgad, Hyderabad, NH31, Turahalli RF, Gujarat, Thane, Kerala, Kolkata District, Darjeeling District, Changlang District, Satara, Cherlapally, Kothrud, Uttarakhand, Deban, Kolkata, Dehradun District, Howrah District, Nimmakuru Village, Sanjay Gandhi NP, Haveri District, Pocharam Village, Karnataka, Solapur, Hyderabad Urban District, Rampally Lake, Bhitarkanika NP, Wildlife Institute Of India, Krishna District, Malappuram District, Ratnagiri District, Paschimbanga, Nagla Block, Sindhudurg District, Tamil Nadu, East Godavari District, Kodagu District, Hesaraghatta Lake, Maharashtra Nature Park, Odisha, Kendrapara District, Solapur District, Chennai District, Dakshina Kannada District, Nalgonda District, Pune District, Thane District, Madurai District, Bengaluru Urban District, Ovalekar Wadi Butterfly Park, Namdapha NP, Domjur, Mumbai Suburban District, Hanging Gardens, India, Thuna, Telangana, Malabar Hills, Maredumilli, Rangareddi District, Powai, Mumbai City District, Indiranagar, Saptur, Andhra Pradesh, Beluvai, Maharashtra, Valley School, Satara District, Kadaramandalagi, Bageshwar District, J.P. Nagar RF, Kumbharli Ghat, Chiplun, Chelembra, Surat District, Nehru Zoological park, Arunachal Pradesh, Sammilan Shetty's Butterfly Park, Byadgi Taluk, Mangalore Taluk"
Suastus minuta;"Sivasagar, Odisha, Barbara Beat, Vazpaithiyar, Karnataka, Jog Falls, Kakkayam, Thiruvananthapuram  District, Kallar Valley, Goa, Kozhikode District, North Goa District, Assam, Molem, Sivasagar District, Kerala, Balgaon Range, India, Peppara WLS, Shivamogga District, Khordha District"
Sumalia daraxa;"Pakyong, West Kameng District, Lunkai Nullah, North Sikkim District, Darjeeling District, Changlang District, Jayanti, Deban, Ramaling, Sikkim, Pakke TR, Pasingdang, Buxa TR, Rishop, Mawkdok, East Sikkim District, Paschimbanga, Upper Dzongu, 19th Mile, Alipurduar District, Sangkland, Mawlong-Terna Road, Sillery Gaon, Namdapha NP, India, Tingvong-Lingzya, Kechopari Lake, Anamika Falls, East Khasi Hills District, Cherrapunjee, Meghalaya, Mawkisyiem, East Kameng District, West Sikkim District, Arunachal Pradesh, Eaglenest WLS"
Sumalia zulema;"Mahakal Temple, Sikkim, Upper Dzongu, Pakke TR, Pakke Kesang, Alipurduar District, Buxa TR, Pasingdang, Rolep, North Sikkim District, East Sikkim District, East Kameng District, Paschimbanga, Namdapha NP, Arunachal Pradesh, India, Changlang District, Jayanti, Deban"
Superflua deria;"Himachal Pradesh, India, Keylong, Lahaul and Spiti District"
Surendra quercetorum;"Kottayam District, IIT Bombay, Kathayat Bara Village, South Garo Hills District, Borojan RF, Khowai, Kerala, Satara, Tirunelveli District, Changlang District, Havelock Islands, Jayanti, Uttarakhand, Deban, Sangave, South Andaman District, Dehradun District, Tamhanmala, Sanjay Gandhi NP, Kamrup District, Baghmara RF, Karwani, Pakke TR, Senapati, Tripura, Buxa TR, Khadi (Khari), Wildlife Institute Of India, Malappuram District, Ratnagiri District, Paschimbanga, Garbhanga Reserve Forest, Nagla Block, Tamil Nadu, Jalpaiguri District, Devrukh, Courtallam, Denguajhar Tea Estate, Sindhudurg District, East Godavari District, Peruvannamoozhi, Jambura, Nainital District, Alipurduar District, Deepor Beel, Illikkal Kallu, Thane District, Assam, Pakshipathalam, Siju WLS, Namdapha NP, Kakkur, Mumbai Suburban District, India, Guwahati, Eco-Park Near Five Falls, Yeoor, Maredumilli, Vaniyambalam, Powai, Manipur, Senapati District, Kanheri caves, Andhra Pradesh, Thirunelli, Mahesh Khan Forest, Maharashtra, Satara District, Amboli, Kozhikode District, Tinsukia District, Bageshwar District, Wayanad District, Meghalaya, Chiplun, Khowai District, East Kameng District, Tungareshwar WLS, Arunachal Pradesh, Andaman and Nicobar Islands"
Symbrenthia brabira;"Sikkim, South Sikkim District, Pabung Khola, North Sikkim District, India, Upper Dzongu, Tingvong-Lingzya"
Symbrenthia hypselis;"Haldibari, Near Shatuza Village, West Kameng District, Dimapur District, Ghingharutola Village, South Sikkim District, Mouling NP, Tenga Valley, Pabung Khola, Lunkai Nullah, North Sikkim District, Changlang District, Uttarakhand, Deban, Sessa to Bhalukpong Road, Sikkim, Phek District, Senapati, Pasingdang, Tingvong, Piphema (near Pherima), Nagaland, Upper Dzongu, 19th Mile, Mawlong-Terna Road, Upper Siang District, Namdapha NP, India, Manipur, Senapati District, Shathiiya, East Khasi Hills District, Bageshwar District, Mawkisyiem, Meghalaya, Cherrapunjee, Eaglenest WLS, Arunachal Pradesh"
Symbrenthia lilaea;"Nagadera Gaon, Kathayat Bara Village, South Garo Hills District, Lunglei, Baramura Hill, Kohima, Lunkai Nullah, Renuka Lake, Elephant Conservation Reserve, Hoollongapar Gibbon Sanctuary, Changlang District, North Sikkim District, Jayanti, Uttarakhand, Deban, Darjeeling District, Dehradun District, Chakrata, Phek District, Sikkim, Tripura, Lunglei District, Pakke TR, Senapati, Buxa TR, Ri Bhoi District, Khadi (Khari), Wildlife Institute Of India, Mara Autonomous District, Suntale Khola, Paschimbanga, Shatuza Village, Nagaland, Upper Dzongu, Himachal Pradesh, Kohima District, 19th Mile, Nainital District, Sirmaur District, Alipurduar District, Digboi, Paham Village, Mawlong-Terna Road, Assam, Nakachari, Siju WLS, Namdapha NP, Geyzing, India, Tingvong-Lingzya, Manipur, Mizoram, Rajabhatkhawa, Senapati District, East Khasi Hills District, Sattal Lake, Jorhat District, Tinsukia District, Bageshwar District, Mawkisyiem, Meghalaya, Lungpuk, Nainital, Khowai District, East Kameng District, West Sikkim District, Cherrapunjee, Arunachal Pradesh, Kohima War Cemetery"
Symbrenthia niphanda;"Shama, Lingdong, Police Line, Sikkim, Sikhar Hill, India, Uttarkashi District, Sankri, Pasingdang, Rolep, Bageshwar District, Almora District, East Sikkim District, Tingvong, Dzongu, Govind Pashu NP, North Sikkim District, Almora, Upper Dzongu, Uttarakhand, Ring Khola"
Symbrenthia silana;"19th Mile, Haldibari, Sikkim, Namprikdang, West Kameng District, Eaglenest WLS, location invalid, Namprikdang Rest House, North Sikkim District, 18th Mile, South Sikkim District, Upper Siang District, Namdapha NP, Mouling NP, Dzongu, Arunachal Pradesh, India, Changlang District, Sessni, Pabung Khola, Deban"
Symphaedra nais;"Siddheshwar Hills, Antara Ganga, Gondiya District, Devarayanadurga, Taldangra Eco Park, Bilaspur District, Kerala, Camp Geedee, Buxa TR, Paschimbanga, Gadchiroli District, Susunia Hill, Chhattisgarh, Kanakpura Taluk, Bangalore University Campus, Bengaluru Urban District, Palghar District, Andhra Pradesh, Pune, Chandrapur District, Bankura District, Dhanora, Jayanti, Savandurga SF, Kandra, Kolar District, Kanha NP, Nagla Block, Luchki forest, Vishakhapatnam District, Polo Forest, Ramanagara District, Pune District, India, Telangana, Valley School, Aurangabad District, Bengaluru  Rural District, Pyramid Valley, Ramnagar district, Achanakmar WLS, Sanjay Gandhi NP, Ragihalli, Karnataka, Wonder La Amusement Park, Alipurduar District, Yeoor, Rangareddi District, Dr. Babasaheb Ambedkar Marathwada University Campus, Maharashtra, Mendha Village, Surguja District, Wayanad District, J.P. Nagar RF, Anantagiri Forest, Sabar Kantha District, Narsapur Forest, Bidadi, Araku valley, Gujarat, Alibag Taluka, Navegaon NP, Chhaparva FRH, Kelva, Raipur, Brahmapuri, Ambikapur, Medak District, Palakkad District, Wayanad WLS, Raigad District, Bhuvangadh, Vansda NP, Madhya Pradesh, Thane District, Kanjikkode, Tumkur District, Bardhaman District, Sinhagad, Mandla District, Shodhgram, Magadi Taluk, Navsari District, GKVK Campus, Baner Hills, Tungareshwar WLS, Chatgaon"
Tagiades cohaerens;"West Kameng District, 17th Mile, Namdapha NP, Eaglenest WLS, Arunachal Pradesh, India, Changlang District, Lunkai Nullah, Ramaling"
Tagiades gana;"Sammilan Shetty's Butterfly Park, Kottakkunnu, South Garo Hills District, Baramura Hill, South Goa District, Kerala, Saddle Peak NP, Central agriculture and research, Hoollongapar Gibbon Sanctuary, Shivamogga District, Long Island, Agumbe Valley, Makutta, South Andaman District, Baghmara RF, Karwani, Kanaiderra RF, Near Ferrargunj, Tripura, Port Blair, Pakke TR, Karnataka, Buxa TR, Udupi District, Cotigao WLS, Kudlu Teertha, Dibrugarh District, Malappuram District, Paschimbanga, Sindhudurg District, Kodagu District, Dakshina Kannada District, Belvai, North and Middle Andaman District, Alipurduar District, Goa, Assam, Redi, Kakkur, Mount Harriet NP, India, Vaniyambalam, Beluvai, North Wandoor, Maharashtra, Aralam WLS, Jorhat District, Amboli, Jeypore RF, Kozhikode District, Kannur  District, Meghalaya, Chelembra, Chilapata WLS, Khowai District, East Kameng District, Mangalore Taluk, Arunachal Pradesh, Andaman and Nicobar Islands"
Tagiades japetus;"Balpakram NP, South Garo Hills District, Baramura Hill, Trishna WLS, Phura, Kerala, Hoollongapar Gibbon Sanctuary, Changlang District, Ayyanar Falls, Deban, Camp Geedee, South 24 Parganas District, Ragihalli, Tripura, Chintamani Kar Bird Sanctuary, Karnataka, Dhaka, Krishnagiri District, Dibrugarh District, Mara Autonomous District, South Tripura District, Paschimbanga, National Botanical Garden, Tamil Nadu, Sivasagar, Aithan Dighola Gaon, Thiruvananthapuram  District, Assam, Applaagraharam, Bengaluru Urban District, Gongrot, Namdapha NP, Srikakulam District, Sivasagar District, India, near new Rest House, Bangladesh, Mizoram, Andhra Pradesh, Jorhat District, Anaibethella Beat, Lungpuk, Meghalaya, Dhaka district, Khowai District, Joychandarpur, Jokai Reserve Forest, Virudhunagar District, Arunachal Pradesh, J.P. Nagar RF, Peppara WLS"
Tagiades litigiosa;"Madikeri, Honey Valley, Dzongu, Perambra, Bankura District, Dimapur District, Baramura Hill, Ajoba, Kerala, Phansad WLS, Malibhagom, North Sikkim District, Thenmala, Hoollongapar Gibbon Sanctuary, Darbakulam, Gaganbavda, Ayyanar Falls, Chavara South, Tamhanmala, Sikkim, Tripura, Namprikdang, Kamrup District, Karnataka, Chalsa, Sirsi, Parambikkulam WLS, Buxa TR, Sindhudurg District, Mara Autonomous District, Ratnagiri District, Paschimbanga, Palakkad District, Raigad District, Tamil Nadu, Alappuzha District, Kodagu District, Jalpaiguri District, Nagaland, Dimapur, Uttara Kannada District, Susunia Hill, Dhalai District, Dakshina Kannada District, Alipurduar District, CASFOS campus, Pune District, Thane District, Assam, India, Songaon, Thamarakulam Village, Pratapgad, Beluvai, Mizoram, Rajabhatkhawa, Panshet, Maharashtra, Malappuram District, Satara District, Jorhat District, Kolhapur District, Amboli, Shahapur, Kozhikode District, Burnihat, Lungpuk, Chelembra, Kaas, Near Manu Town, Khowai District, Mangalore Taluk, Virudhunagar District, Chiplun, Dombivli, Kollam District, Sammilan Shetty's Butterfly Park, Deo RF"
Tagiades menaka;"Didihat, Lower Mukrung, Lunglei, Lunkai Nullah, North Sikkim District, Darjeeling District, Changlang District, Jayanti, Uttarakhand, Deban, Lunglei District, Sikkim, Mawkdok, Buxa TR, Pithoragarh District, Dibrugarh District, Paschimbanga, Upper Dzongu, Lava, Nainital District, Alipurduar District, Mawlong-Terna Road, Assam, Kalej Khola, Namdapha NP, India, Tingvong-Lingzya, Mizoram, East Khasi Hills District, Jeypore RF, Cherrapunjee, Meghalaya, Nainital, West Sikkim District, Arunachal Pradesh"
Tagiades parra;"Baghmara RF, Karwani, Paschimbanga, South Garo Hills District, Dhupjhora, Meghalaya, Namdapha NP, Jalpaiguri District, Arunachal Pradesh, India, Changlang District, Gorumara NP, Deban"
Tajuria cippus;"Gavier lake, Matheran, Pashan Lake, Kanchipuram Urban District, Pashan, Khowai, Gujarat, Kerala, Satara, Jayanti, Ayyanar Falls, Baghmundi, South 24 Parganas District, Horsley Hills, Sanjay Gandhi NP, Tripura, Chintamani Kar Bird Sanctuary, Karnataka, Collector's Office, Buxa TR, Malappuram District, Ratnagiri District, Paschimbanga, Raigad District, Tamil Nadu, Alappuzha District, Sindhudurg District, Kanchipuram, Madayi Para, Chittoor District, Alipurduar District, Pune District, Thane District, Bengaluru Urban District, Ovalekar Wadi Butterfly Park, Puruliya District, India, Yeoor, Thamarakulam Village, Andhra Pradesh, Pune, Maharashtra, Valley School, Malappuram, Satara District, Jalahalli, Kannur  District, Amboli, Chelembra, Khowai District, Surat District, Lalbagh Botanical Gardens, Chiplun, Virudhunagar District"
Tajuria diaeus;"Soreng, India, Sikkim, West Sikkim District"
Tajuria illurgioides;"West Kameng District, Arunachal Pradesh, India, Lama Camp, Eaglenest WLS"
Tajuria ister;"Paschimbanga, Alipurduar District, Buxa TR, Jalpaiguri District, Jalpaiguri, India"
Tajuria jehana;"PSK Nagar , Rajapalayam, Bengaluru  Rural District, Gujarat, Kasu Brahmananda Reddy (KBR) NP, Satara, Sanamavu Forest, Chinchoti, Savandurga SF, Pelhar Dam, Karnataka, Hyderabad Urban District, Krishnagiri District, Tamil Nadu, Thane District, Vanasthali Deer Park, Bengaluru Urban District, Mrugavani NP, India, Telangana, Chilkur, Rangareddi District, Purna WLS, Maharashtra, Valley School, Satara District, Jalahalli, Magadi Taluk, Naigaon, Vasai, Virudhunagar District, Dang District"
Tajuria maculata;"Palakkad District, Alipurduar District, Parambikkulam WLS, Buxa TR, Kannur  District, Kottathalachimala, Kerala, Paschimbanga, India, Jayanti"
Tajuria melastigma;"Nelliyampathy, Bhadra River Project, Karnataka, Kerala, Palakkad District, India, Shivamogga District"
Talicada nyseus;"Honey Valley, Perambra, MSR City, Devgad, Srinagar, Hyderabad, Ranjhi, Kerala, Lunglei District, Paschimbanga, Jalpaiguri District, Tamil Nadu, Jigani, Mudumalai NP, Goa, Shivanahall, Bengaluru Urban District, Andhra Pradesh, Pune, Amboli, Chiplun, Katanga, Aurangabad, IIT Bombay, Kathayat Bara Village, Jabalpur District, Mysore District, Kurul, Savandurga SF, Banarhat, Hyderabad Urban District, Morapada, Jayalakshmipuram, Vishakhapatnam District, Dakshina Kannada District, Thiruvananthapuram  District, Yelagiri Hills, Pune District, Ovalekar Wadi Butterfly Park, India, Telangana, Kallikad, Mizoram, Nelliyampathy, Swamimalai, Bageshwar District, Prashanti Kutiram, Nehru Zoological park, Aurangabad District, Bengaluru  Rural District, Shimla District, Kelbai Wada, Binnaguri, Karnataka, Sirsi, Kudlu Teertha, Ratnagiri District, Kodagu District, Maharashtra Nature Park, Sangli, Allalasandra, Mumbai City District, Maharashtra, Kozhikode District, J.P. Nagar RF, Sangli District, Nilambur, Sullia, Dombivili, Jammu and Kashmir, Araku valley, Lunglei, Near Bio Veda Retreat, Pashan, Aundh, Kanoh, Borivali, Ramakrishna Mission, Alibag Taluka, Uttarakhand, Nandivili, Udupi District, Dattaji Salvi Garden, Malappuram District, Palakkad District, Sahakar Nagar, Sindhudurg District, Raigad District, Himachal Pradesh, Vellore District, Srinagar District, Uttara Kannada District, Madhya Pradesh, Thane District, Nilgiri District, Butterfly Park, Mumbai Suburban District, Sinhagad, North Goa District, Curti, Powai, Magadi Taluk, Mysore City"
Tanaecia cibaritis;"North Wandoor, South Andaman District, Kanaiderra RF, Havelock Islands, Near Ferrargunj, Chidiya Tapu, Baratang Island, North and Middle Andaman District, Lime caves, Mount Harriet NP, India, Andaman and Nicobar Islands"
Tanaecia cocytus;"Mizoram, Dampa Tiger Reserve, Aizawl District, Tongkolong WLS, Mara Autonomous District, India"
Tanaecia jahnu;"Mizoram, Sivasagar, Nameri NP, Hoollongapar Gibbon Sanctuary, Jorhat District, Assam, Tongkolong WLS, Mara Autonomous District, Namdapha NP, Sivasagar District, Sonitpur District, Arunachal Pradesh, India, Changlang District, Khengthong, Deban"
Tanaecia julii;"Balpakram NP, South Garo Hills District, Dimapur District, Lawachara NP, Phura, North Sikkim District, Hoollongapar Gibbon Sanctuary, Changlang District, Jayanti, Nongriat, Deban, Near Rangpo, Sikkim, Tripura, Namprikdang, Ultapani, Pakke TR, Chalsa, Moulvibazar District, Pasingdang, Buxa TR, Khadi (Khari), East Sikkim District, Mara Autonomous District, Dimapur, Paschimbanga, South Tripura District, Bison NP, Nagaland, Upper Dzongu, Dzongu, Jalpaiguri District, Sylhet, Alipurduar District, Assam, Gongrot, Namdapha NP, India, Bangladesh, Mizoram, 23rd Mile, East Khasi Hills District, Kumrek, Jorhat District, Lepchakha, Meghalaya, Lungpuk, Chilapata WLS, East Kameng District, Arunachal Pradesh, Kokrajhar District"
Tanaecia lepidea;"Nagadera Gaon, Udyavar, Matheran, Perambra, Devgad, Dimapur District, Vazhikkadavu, Sonatala, Bhagwan Mahaveer WLS, Lunglei, Kozhikode (Calicut), South Goa District, Pamba West Division, Kerala, Sakleshpur, Elephant Conservation Reserve, Hoollongapar Gibbon Sanctuary, Karde, Lunglei District, Tamhanmala, Tripura, Vithura, Pakke TR, Karnataka, Sirsi, Chikhali, Meenmutty Falls, Rottikalu, Udupi District, Dibrugarh District, Malappuram District, Ratnagiri District, Dimapur, Phansad WLS (Supegaon End), Idukki District, Nagaland, Alappuzha District, Pampamala, Raigad District, Sindhudurg District, Uttara Kannada District, Murud-Janjira Taluka, East Godavari District, Near AAU Campus, Dakshina Kannada District, Belvai, Thiruvananthapuram  District, Goa, Digboi, Dapoli, Assam, Nakachari, Gokarna, India, Periyar TR, North Goa District, Songaon, Thamarakulam Village, Jamuguri Gaon, Maredumilli, Mizoram, Andhra Pradesh, Ponda, Maharashtra, Jorhat District, Amboli, Guhagar, Kozhikode District, Tinsukia District, Hassan District, Butterfly Conservatory of Goa, Khowai District, East Kameng District, Jokai Reserve Forest, Arunachal Pradesh, Nilambur"
Tapena thwaitesi;"Perambra, Coimbatore District, South Goa District, Kerala, Thommankuthu, Satara, Kovai Kutralam, Sanjay Gandhi NP, Netravati, Cotigao WLS, Ratnagiri District, Nagla Block, Idukki District, Tamil Nadu, Sindhudurg District, Goa, Thane District, Siruvani, India, Kuske Waterfall, Yeoor, Maharashtra, Satara District, Amboli, Kozhikode District, Kumbharli Ghat, Chiplun, Tungareshwar WLS"
Taractrocera ceramas;"Madikeri, Honey Valley, Matheran, Devgad, Iruppu Falls, Kerala, Sakleshpur, Tamhanmala, Sanjay Gandhi NP, Vithura, Karnataka, Sirsi, Parambikkulam WLS, Kallar Eco Tourism Park, Ratnagiri District, Palakkad District, Idukki District, Raigad District, Sindhudurg District, Kodagu District, Uttara Kannada District, Peb Fort, Thiruvananthapuram  District, Pune District, Thane District, Lonavala, Kakkur, Gokarna, Periyar TR, India, Owla, Yeoor, Nelliyampathy, Maharashtra, Neral, Aralam WLS, Mangaladevi, Amboli, Kannur  District, Kozhikode District, Hassan District, Tungarli Hills, Chiplun, Kanakeshwar, Alibag, Tungareshwar WLS"
Taractrocera danna;"Tehri Garhwal District, Bhimtal, Lungshu Nala, Nainital District, Kedarnath Wildlife Sanctuary, Sirmaur District, Uttarkashi District, Kapkote Village, Osla Village, Devalsari, Haripurdhar, Bageshwar District, Munsiyari, Pithoragarh District, Govind Pashu NP, Himachal Pradesh, India, Chamoli District, Uttarakhand"
